TESTO,EMOZIONI
"Ormai mi sono arresa: la spesa online è riservata a pochi! Ultimo tentativo ieri sera ore 12,30. Primo tentativo di oggi ore 6,30. Tutto occupato! Nessuna possibilità di inoltrare l'ordine e questo va avanti da giorni. Quindi bisogna stare alzati di notte!",DISAPPOINTMENT
Siete unici grandi,TRUST
Mi emoziona la gentilezza di tutti poi i dirigenti sono efficienti preparati e organizzano perfettamente tutto. E uno staff da 10 con lode Grazie Esselunga,TRUST
E grazie ancora di più se magari la domenica chiudete e fate riposare questi eroi. E pure a Pasqua!!,TRUST
"Sempre alla banguardia dal suo personale e ai cliente .Siette la forza continuate a dare speranza di ricominciare alla nostra normalità cotidiana. Un Po diversa ,lo importante è andare avanti sempre.❤",LOVE - OPTIMISM
Io faccio la spesa all’esselunga da anni e l’adoro. In questo periodo però sono molto delusa. ,DISAPPOINTMENT
Perché non riservate ai sanitari almeno una fascia oraria in almeno un giorno alla settimana per fare la spesa online perché è impossibile trovare uno spazio libero,OUTRAGE
"si è vero,graziea tutti i dipendenti di esselunga ma......non è possibile che noi vecchi non riusciamo a fare laspesa online e dobbiamo andare a fare la spesa nello store. dovete fare una corsia preferenziale per gli over 70 anche online",TRUST - DISAPPOINTMENT
"Come hanno fatto alcune aziende sarebbe auspicabile, da parte vostra, aumentare lo stipendio a tutti i dipendenti ...",ANTICIPATION
Grazie siete dà sempre gentilissimi ma ora meritate un grazie veramente speciale onore a tutti voi che fate tantissimo per noi ♥️,TRUST
Ma perché non potenziate il servizio online nei comuni in cui non è presente un vostro punto vendita? Sarebbe più facile per tutti fare la spesa da Esselunga. Sono vostra cliente online da tantissimi anni ma da più di un mese non riesco a trovare slot,DISAPPOINTMENT
"Grazie per aver rimesso in vendita materiale scolastico come richiesto, in questo momento dove i ragazzi continuano la didattica era fondamentale.",TRUST
"Ho provato anche a mezzanotte e alle 3, ma non c'erano slot disponibili oltre il giorno 13, poi, magicamente, alle 6 sono apparsi gli slot del giorno 14 di aprile, ovviamente non più disponibili!!!! Non penso che sia corretto, soprattutto per persone di una certa età.",OUTRAGE
Questa pubblicità mi emoziona sempre ♥️,LOVE
Fedele da anni e se possibile ancora di più nei prossimi! Grazie di cuore a tutti voi,TRUST
"IO MI SONO SEMPRE TROVATO BENE A L'ESSELUNGA ANCHE IN QUESTO PERIODO CRITICO. VOGLIO AUGURARE UNA PARTICOLARE BUONA PASQUA A TUTTI I DIPENDENTI PER LA CORTESIA E PAZIENZA CHE HANNO DIMOSTRATO IN QUESTO PERIODO! ""GRAZIE DI ❤️""",TRUST
Io ci ho rinunciato ha fare spesa online sempre bloccata certo x chi ha persone anziane è un’incubo,DESPAIR
Continuo a vedere l'uso improprio di mascherine con valvola...che salvaguardano solo chi le indossa ma non le altre persone!,ANGER
"Oggi sono venuta a fare la spesa da voi ,sempre tutti efficienti e educati! Mi sono accorta che avete riaperto la sezione con la cartoleria per i bambini e il giardinaggio e mi sono chiesta se mai riaprirete quella dei vestiti per i bambini!? Io ordino online ( ho una neonata) e i tempi sono molto lunghi! Sarebbe fantastico comprare delle cose senza dover aspettare che mi vengano consegnate a giugno",TRUST
"Esselunga dovrebbe riservare spazi per la spesa a casa ,agli anziani e invalidi sono settimane che non riesco a fare un ordine gli slot sono sempre occupati",DISAPPOINTMENT
"Finché dura questa pandemia non sarà più possibile fare la spesa online,ho provato a tutte le ore anche di notte,mi devo arrangiare non esco dal 12 marzo,qualcuno ogni tanto mi fa' un po' di spesa.",SADNESS
Non vorrei essere ripetitiva ma anch'io desidero ringraziarvi per gli sforzi che fate per rendere meno faticoso questo difficile periodo....io poi sono doppiamente fortunata perché la mia zona è coperta dal servizio a domicilio certo i tempi di attesa sono più lunghi ma che sarà mai tanto sono in casa..!!! Grazie a TUTTI ma proprio TUTTI !!!,TRUST
"Grazie esselunga, in questi giorni di pandemia ci sono persone, clienti disabili di lungo corso, che non possono fare la spesa online a causa dei vostri disservizi. Ma riservare qualche posto ai disabili? ",DISAPPOINTMENT
Si grande supermercato grazie a tutti voi,TRUST
Grazie da tutto il personale del pronto soccorso di Cremona.,TRUST
Grazie per tutto ciò che fate.Scelgo Esselunga da sempre e per sempre!,TRUST
Io sono dispiaciuta non potendo recarmi all'esselunga di Baranzate essendo di Novate!!!Siete fantastici e spero di poter fare spesa al più presto da voi!!,TRUST - SADNESS
Complimenti.... Sempre numero uno... Mi dispiace che non posso fare la spesa da voi adesso sono fuori comune... Di solito una volta alla settimana sempre.. Grazie sempre gentilissimi tutti..,TRUST - SADNESS
Quanto mi manca poter fare la mia spesa,SADNESS
"Grazie, anche se sono 3 settimane che tento di fare spesa on line, Ma mai disponibile, sempre tutte le consegne occupate....",TRUST - DISAPPOINTMENT
"grazie per il vostro impegno, mi trovo bene ad acquistare nella vostra struttura",TRUST
"Vostra cliente da sempre ,grazie a tutti voi!",TRUST
Mi dispiace non potere fare la spesa da voi in questo periodo.,SADNESS
In questo periodo ho girato 3 supermercati e la professionalità e serietà con cui affrontate questa emergenza è unica !Solo da voi mi sono sentita protetta e al sicuro. Complimenti ❤,LOVE
anch'io esco solo per necessità lavoro spesa medico .(se Esselunga aggiornare meglio il calendario a che a chi gente anziana e non può uscire di casa ed esco io a mio rischio vorrei fare spesa olain ma non tornai il calendario con posto per tutti vorrei un Po cuore da parte vostra ciao vostra cliente Licia rispondimi x favore grazie Licia,DISAPPOINTMENT - ANTICIPATION
"I miei fratelli lavorano qui e sono sempre orgogliosi di esselunga, che anche nelle avversità sanno che il loro lavoro non ha motivo di fermarsi, forza Italia",TRUST - OPTIMISM
"Grazie, ma io non posso venire in negozio e le spese a casa sono bloccate da troppi giorni, sbloccate qualche giorno, abbiamo bisogno di alimenti.",TRUST - ANGER
Sempre apprezzata e continuo ad apprezzarla avendo la fortuna di averla vicino a casa..sempre entrata con guanti e mascherina fin dall’inizio per rispetto di chi ci lavora..è vero c’è coda..a volte parecchia..,TRUST
A bhe... Non essendo nel mio comune è da tempo che non faccio più spesa da voi e per noi che siamo fuori la spesa online sembra un po' una supercazzola... Non ci perdo certo il sonno ma credevo che dopo i primi tempi capibili ci potesse essere qualche chance... Ma dato che non è così mi sono adeguata ad altri super... E magari ci resto..,DISAPPOINTMENT
Grazie veramente a tutti voi . Siete favolosi e mantenete il massimo della professionalità e dell’eccellenza . Controlli e pulizia . Educazione .Grande protezione per il personale e per i clienti . ,TRUST
Ho sempre fatto la spesa online da quando c è l'emergenza non sono mai riuscita ci sono sempre le date bloccate. Sono molto delusa,TRUST - DISAPPOINTMENT
"I vs dipendenti sono UNICI, in un momento cosi particolare e faticoso, sono sempre MOLTO gentili e disponibili. Da premiare, bravi e voi il numero 1",TRUST
"La spesa online, non si riesce più a fare. Io sono di Paderno Dugnano, e tutte le settimane facevo una spesa di circa € 90.. devo girarmi su altri supermercati, perché non posso uscire dal mio comune..",SADNESS
"Da giorni vi scrivo nei commenti perché non mi rispondete più privatamente, vorrei sapere che fine ha fatto il mio ordine.",DISAPPOINTMENT
Non vedo l’ora che riapriate... I love you ikea,LOVE - OPTIMISM
"Bellissimo spot , grazie IKEA e spero di tornare presto",TRUST - ANTICIPATION
"Bellissimo , mi sono commossa più di una volta io e mio marito ci siamo abbracciati forte mentre ballavamo nel salotto e ci dicevamo : “saremmo più forti di prima “ ☺️ Grande Ikea!",TRUST - OPTIMISM - SENTIMENTALITY
"Grazie Ikea per il bellissimo spot. E grazie per avere messo i sottotitoli, importantissimi per chi ,come me è sordo.Spero di venire presto nei vostri negozi a fare acquisti che ne ho bisogno.❤️",LOVE - OPTIMISM
Orgoglio ikea❤ bellissimo questo spot,LOVE - OPTIMISM
Io ci provo a fare un ordine e non mi lo fa fare come mai,DISAPPOINTMENT
Ikea numero uno....anche nella comunicazione ❤️,LOVE
"Video Emozionante...Azienda sempre vicina alle esigenze delle famiglie, non solo nei prodotti, ma anche nel fare acquisti nei negozi, è uno dei pochi posti dove la famiglia non è discriminata e si può andare tutti insieme.",TRUST
Che nostalgia....,SENTIMENTALITY
Fantastico ❤️,LOVE
Buongiorno ho un pacco ordinato il 15 marzo e mi dice in consegna oggi ma non ho la possibilità di tracciarlo!mi fate sapere qualche notizia grazie,ANTICIPATION
Eh già propio così !!! casa dolce casa la famiglia l'amore più grande ❤ bellissimo questo video appena aprite devo comprare un po di cose,LOVE
Quanto mi manca ikea,SADNESS
Quando aprite mi mancate....sono di napoli.,SADNESS
"Begli spot peccato che poi per sostituire due ante danneggiate dal vostro trasportatore, e un cassetto che avete sbagliato per colore, non c'è modo di sapere quando e ci si sente dire dopo i primi di giugno.. Ordine e consegna di metà aprile.. Mai una mail o una telefonata toccato a me chiamarvi più volte e ancora non so se e quando avrò la sostituzione dei pezzi. Ripeto per un danno vostro. Oltre al disagio di non poter finire di montare l'armadio, che pensare. I soldi però li avete presi subito, idem per i costi di trasporto che visto il risultato uno si sente doppiamente preso in giro.",TRUST - DISAPPOINTMENT
Ikea il negozio che amo tantissimo.mi trasferire li dentro .siete bravissimi sempre ikea.l unica pecca la piu vicino che ho è a catania mentre io vivo a Messina dice mio marito questa distanza è la mia salvezza,LOVE - SADNESS
Io amo Ikea❤,LOVE
"Grazie.. la scorsa settimana puntualmente - anzi con un giorno di anticipo - come indicato nella mail di ordine, sono arrivate le mie cosine Ikea.. :-) .. certo che venire in negozio sarà decisamente meglio!! A presto!!!",TRUST
Uno spot commovente,SENTIMENTALITY
Complimenti davvero bello e adatto al momento bravi,TRUST
"Fate le pubblicita di sinistra adesso? Allora berrò un caffe piu destroso, dopo il crodino è arrivato il lavazza",OUTRAGE
Chissà davvero che mondo ne uscirà..,ALARM
La piu` bella di sempre,TRUST
Ho appena visto questa pubblicità alla tv... Stupenda!!!,TRUST
"Uno dei pochi spot televisivi che hanno senso costruttivo, complimenti sinceri all'Avazza",TRUST
Veramente un bellissimo video !Parole che toccano il cuore,TRUST - SENTIMENTALITY
Avete rotto le scatole con questa pubblicità che fate passare ogni tre secondi... anche se sono belle parole non se ne può più!!! Licenziate il “creativo”!!!,ANGER
"Mi spiace dirvi che Chapiln parlava nel 1940 e la popolazione era pari a 2,5 miliardi di persone, oggi siamo più del triplo. Smettiamola di dire che c'è posto per tutti, perché non è così!!",ANGER
Be che dire ...? Fantastico !!! Sono onorata come Italiana e come Torinese nel vedere una sensibilità così grande!!! Complimenti a voi e all’ agenzi Atmando Testa,TRUST - PRIDE
Una delle più belle pubblicità degli ultimi anni...complimenti,TRUST
"Complimenti, un messaggio profondo, importante e un' esecuzione pubblicitaria davvero molto bella.",TRUST
"Da ""Il dittatore "" di Chaplin...che dire.. la storia dovrebbe insegnare...l'uomo dovrebbe ricordare!",TRUST
La più bella pubblicità che ho mai visto!!!!!!!,TRUST
"Straordinario, l'ho appena visto e come sempre, quando ascolto questo discorso meraviglioso di Charlie piango..... Grazie",SENTIMENTALITY
"Sarebbe più pulito il mondo, se voi faresti la cialda bio degradabile per no continuare a inquinare il medio ambiente, y neanche gli oceani, PER FAVORE!!!",OUTRAGE
Pubblicità commovente che s'incastra perfettamente con ciò che stiamo vivendo..complimenti davvero,TRUST - SENTIMENTALITY
Complimenti per la pubblicità che porta un messaggio importante per tutti noi! Chissà che prima o poi non si avveri un domani..❤️❤️❤️,LOVE - OPTIMISM
Complimenti a tutti voi per questo spot...avete acquistato nuovi clienti,TRUST
sono grata a Lavazza per questo meraviglioso messaggio di cui si è fatta portavoce. Il prossimo caffè che compro sarà il suo,TRUST
Complimenti ragazzi veramente pelle d’oca! ❤️,LOVE - SENTIMENTALITY
"Va ben....nel 1940 eravamo 2 miliardi, oggigiorno più di sei, fra un pò non ci staremo tutti....soluzioni? A parte le pubblicità?",OUTRAGE
"Grazie Lavazza! Ora vado a compare Kimbo, che vende caffè, e non fa questi spot.",OUTRAGE
"Mi spiace, non c'è posto per tutti. Andate a vedere rispetto agli anni in cui CChaplin diceva quelle cose di quanto è aumentata la popolazione mondiale. Forse la terra non è felice!",DISAPPOINTMENT
Straordinario...grazie a Lavazza....,TRUST
"Spot meraviglioso, emozionante... La voce di Chaplin, le immagini, i concetti espressi.... Bravi, mi avete commosso!!!",TRUST - SENTIMENTALITY
"...bello, eh!? Niente da dire sullo spot... Ma se lo sento in italiano, preferisco! Ma perché in inglese!? Ma smettiamola di fare i buonisti proamerica, che loro né per noi né per altri Paesi sono mai stati Pro!",TRUST - OUTRAGE
"Semplicemente stupenda! Bellissima la musica di Ezio Bosso e le foto di Steve McCurry, Dennis Stock e Jerome Sessin. Grande lavoro di Armando Testa e complimenti al direttore Carlo Colpo che ha saputo osare una virata di grandissima qualità e poesia.",TRUST
"Cambiate pubblicità, parlate del buon caffè italiano e dell' Italia",OUTRAGE
"Bellissimo messaggio. Mi ha, emozionata molto.. Nn adatta sicuramente alla vendita del caffè, ma prendiamola come pubblicità progresso... ❤️",LOVE - SENTIMENTALITY
"Grazie per questo reclam , davvero di cuore a chi l ha pensato e portato sugli schermi ! Fantastico in un momento come questo è il miglior messaggio che viene passato alla tv grazie !",TRUST
Bellissimo...orgoglio di Torino...bravi,TRUST - PRIDE
L'unica cosa che guardo in TV con molta attenzione alzando il volume. Emozionante.,LOVE
Basta IPOCRITIIIII,ANGER
Gredo che sia un assoluto la più bella pubblicità.bravi.,TRUST
"Avete realizzato uno spot di vera bellezza, potente, autentico, come voi. Grazie, perché c'è bisogno di un ascensore per l'anima in questo periodo.",TRUST
"Complimenti, complimenti davvero per l’importanza del messaggio e la qualità con cui lo avete trasmesso !! Vi fa onore",TRUST
Bellissima la vostra pubblicità per il caffè Kimbo ❤️,DISGUST
Lo spot più bello che abbia mai visto,TRUST
"Bellissima pubblicità, mi sono commossa ❤️",LOVE - SENTIMENTALITY
Vomitoooooooo,DISGUST
Stupenda ! Il top con le note del Maestro Ezio Bosso,TRUST
"Ogni volta che vedo questo spot mi chiedo:”Ma perché?!”. Sicuramente piacerà agli intellettuali, ma una azienda italiana che utilizza uno spot in lingua inglese (con sotto titoli il italiano), mi lascia basito. Praticamente avete fatto uno spor qualche giorno prima per spiegare lo spot, che risulta comunque irritante.",OUTRAGE
Una delle più belle pubblicità che abbia visto ❤️❤️,LOVE
"Probabilmente, sono.controcorrente, per quanto appreZZI le parole, e il suo significato, io la detesto, mi innervosisce, prenderei la tv a mazzate. E cambio canale appena la sento, forse se la voce fosse appena più smorzata rispetto la musica se fosse trasmessa con un tono diverso, non so ma così è davvero insopportabile.",OUTRAGE
Complimenti! Uno spot che fa venire la pelle d'oca. ❤,LOVE - SENTIMENTALITY
questo spot mi fa vomitare,DISGUST
Ho appena visto la vostra pubblicita' e mi e' entrata subito nel cuore tanto da volerla utilizzare come messaggio finale di saluti per i miei allievi che dovranno sostenere l'esame di stato in questo tempo 'particolare'.,TRUST
Stiamo in Italia fate le pubblicità italiane.... Che metà del paese non conosce altre lingue..... Tanto in America non fanno pubblicità italiane.... La nostra lingua è bellissima perché poi parlare inglese.,DISAPPOINTMENT
la miglior scelta di tutti i tempi... emozione e la consapevolezza che dal 1940 ad oggi l'umanità dell'uomo non cambiata!,TRUST
La migliore e costruttiva pubblicità vista nella mia esistenza. Grazie Charlie Chaplin e grazie,TRUST
Grande emozione ❤️ Splendido spot,LOVE
Complimenti al ufficio marketing Lavazza lo spot pubblicitario la voce e le immagini bellissime mi avete commosso bravi,TRUST - SENTIMENTALITY
"I benetton di serie C. Perderete molti clienti, tra cui me. La prima cosa che farò lunedì sarà chiamare la ditta che noleggia le macchine, e come me tanti altri. Ditelo all' AD Baravalle",ANGER
Serpi!,ANGER
"Complimenti a Lavazza x questo messaggio molto, molto bello mai banale come il precedente !!..",TRUST
"Vi prego di non togliere mai questa pubblicità e un mito , credo che può aiutare tanta di questi tempi ...tranquilli il caffè Lavazza e il migliore di sempre e comunque lo continuiamo a prendere perché e il migliore",TRUST
Complimenti ad Armando Testa. Un capolavoro assoluto,TRUST
complimenti per questa straordinaria idea,TRUST
"Francamente a me la vostra ultima pubblicità da già fastidio. Chissà quanti milioni di euro elargite x farla mandare in onda, quando si potrebbero utilizzare x scopi molto meno invadenti e più utili.",ANGER
"Dovrebbe essere così il mondo, un bel sogno purtroppo, grazie Charlie Chaplin ♥️♥️♥️♥️♥️",LOVE - SENTIMENTALITY
Questa pubblicità per me è qualcosa di meraviglioso!!,TRUST
Mai più lavazza... ennesimo spot pro lesbiche e invito alla mescolanza di etnie... compravate respiratori invece del minuto intero delle 21 di Mediaset...,DISGUST
"Era tanto che non mi emozionavo per una pubblicità! Finalmente, siete stati grandi.",SENTIMENTALITY
"Ma che messaggi ed immagini inserite per vendere del caffè. Cavalcate la spero ormai morente onda di buonismo perbenismo che vuole diventare pensiero unico, sotto belle parole mettete messaggi ed immagini chiare. I confini sono sacri e ciò non vuol dire che dobbiamo per forza essere cattivi con il prossimo. Avanti donne sposatevi un immigratohh11 Pff.",DISAPPOINTMENT
"....bellissimo, elegante e innovativo....",TRUST
UN APPLAUSO ENORME AL VOSTRO UFFICIO MARKETING!! PUBBLICITÀ DI FORTE IMPATTO ❤❤,LOVE
Grazie ai vostri pubblicitari e comunicazione per lo spot e il messaggio!! Penetrante nel profondo! ❤️,LOVE
I Coldplay nel luglio 2017 inziano i loro concerti con questa splendida frase... che dovremmo tenere a mente sempre tutti.,TRUST
Complimenti pubblicità fa venire la pelle d'oca!!!,TRUST - SENTIMENTALITY
"Complimenti, belle immagini, bella musica, bel testo scelto, bei valori; sarà banale dirlo, ma bello tutto davvero, di quella bellezza di cui c'è proprio tanto bisogno, sempre.",TRUST
"Lo storytelling che parla dritto al cuore, bravi!",TRUST - SENTIMENTALITY
Questa pubblicità non è per promuovere il caffè ma bensi' per promuovere il nuovo ordine massonico mondiale. PESSIMA!!!! W ILLY CAFFÈ,ANGER
Grazie per questo spot.UNICO È SIGNIFICANTE.,TRUST
"Lavazza ? li ho provati tutti , fanno schifo",DISGUST
Mi avete veramente colpito.... Non comprerò mai più Lavazza.,DISGUST
"Complimenti, una delle rare belle pubblicità !!!!",TRUST
Uno spot commovente e bellissimo.non ci sono parole x descriverlo.mi piace veramente tantissimo.COMPLIMENTI.COMPLIMENTI.,TRUST
"Ho appena visto questa pubblicità e vi voglio fare i miei complimenti, emozionante",TRUST - SENTIMENTALITY
da sempre usiamo Lavazza oro. bravi,TRUST
"Questa pubblicità attira l'attenzione già dal primo istante. Per me, è molto bella, complimenti!",TRUST
Premetto odio le pubblicita! Non le sopporto! Questa e' MERAVIGLIOSA,LOVE
"Assolutamente fuori contesto, un concentrato di propaganda e banalità globaliste.",ANGER
Questa sarà una di quelle pubblicità che durerà nel tempo. Perché è un bellissimo messaggio .,TRUST
Vergognosi. Demagogia imbarazzante . Cosa c'entra tutto questo con il caffè che vendete?,OUTRAGE
"Pubblicità bellissima, complimenti per il messaggio fantastico e coraggioso, che avete deciso di dare.",TRUST
A mio parere una tra le più belle mai realizzate.,TRUST
Uno degli spot più belli di sempre. Complimenti!,TRUST
Di solito quando c'è una pausa pubblicitaria faccio zapping.... ma questa m'incanta!!,TRUST
"Cambiano i tempi ...Cambiano gli spot, quanta strada ha fatto Carmencita ! Oggi ne abbiamo molto bisogno di tanta sensibilità ed umanità!!!",TRUST
La adoro la pubblicità più significativa di sempre..♥️,LOVE
"Mi dispiace ma la gente anziana non riesce a leggere, i no vedenti non riescono a sapere di cosa si tratta se non sanno l'inglese, quindi... questa pubblicità doveva essere tradotta nella lingua locale per essere più apprezzata per tutti...",DISAPPOINTMENT
Spot Meraviglioso. Commovente... Fa venire voglia di premiarvi e di comprare tanto caffè,LOVE
Fare uno spot in italiano pareva brutto ???!!!,OUTRAGE
Complimenti per il vostro nuovo spot ...bellissime parole che danno speranza per un futuro migliore... grazie e complimenti mi avete conquistata ...,TRUST - ANTICIPATION
Complimenti alla Lavazza di aver pubblicizzato questo bellissimo Video !,TRUST
"Il caffè che piaceva tanto a mia nonna. .allora veniva venduto in chicchi, un tanto all 'etto..poi volendo si poteva chiedere già macinato e dopo lo mettevano in sacchetto di carta. .ricordo di bambina !",SENTIMENTALITY
Complimenti a Voi e all'agenzia che l'ha pensata,TRUST
"Fate schifo, porci globalisti",ANGER - DISGUST
"Non ho mai usato e mai userò il tuo Lavazza uso il mio buonissimo ILLY, e poi, posso farti una domani? Perché nella pubblicità usi dei negri che si baciano?",ANGER - DISGUST
"È da brivido questo discorso, è commovente, fantastico il suo significato!",SENTIMENTALITY
Un capolavoro! Straordinaria!,TRUST
Davvero un gran bello spot. Bravissimi,TRUST
"Naturalmente il marketing è studiato per le pecore. La solita massa imbambolata che oltre al proprio naso non è in grado di vedere. Sentire commenti che plaudono ad un caffè mentre la nazione è allo sbando e i problemi economici imminenti saranno una tragedia per milioni di persone,mi convince sempre più che il numero dei vermi è in costante aumento.",ANGER
Una delle pubblicità più belle. Complimenti!!,TRUST
Ogni tanto qualcuno che fa pubblicità davvero intelligenti.. Mi emoziono tutte le volte che vedo questo spot.. Bravissimi,TRUST - SENTIMENTALITY
"Che sia marketing o meno non ha alcuna importanza. In Lavazza avete dato dimostrazione dell'Eccellenza Italiana: non solo prodotti, ma soprattutto idee e cuore! Complimenti e grazie per le emozioni che lo spot dona ad ogni passaggio.",TRUST
"Bella pubblicità peccato che non siamo ne liberi ne siamo nel progresso e in una scienza evoluta tanto da riporre fiducia in essi. girano tutti con la mascherina, si fanno tracciare dalle app. Siamo fermi per un virus trasmesso da un Pipistrello Lo chiamate progresso? Ahah simpatico:)",TRUST - FEAR
Faccio i miei complimenti con batticuore a Lavazza per essersi distinta con grande sensibilità in questa pubblicità .... come consumatore ne terrò conto ....,TRUST
"Guardavo internet con la TV accesa, e all'improvviso mi sono imbattuto in una musica molto dolce e in alcune belle parole; ho seguito attentamente lo spot, e mi è venuta la pelle d'oca.",SENTIMENTALITY
SCHIFO,DISGUST
Bellissimo video lo visto in tv mi ha emozionata  wow,TRUST - SENTIMENTALITY
"Nel Giorno della Memoria ho sempre fatto vedere il film di Chaplin ""Il grande dittatore"" e con questo emozionante discorso il film si conclude. Quando i ragazzi si accorgevano dei miei occhi pieni di lacrime si zittivano e cominciavano a capire...",SENTIMENTALITY
Grande narrativa massonica. Del resto Charlie Chaplin era un massone.,OUTRAGE
Bellissimo il vostro nuovo spot. GRAZIE.,TRUST
"Non bevo caffè, son venuta apposta su questa pagina per dirvi che è la cosa che mi ha scaldato di più il cuore negli ultimi mesi!",SENTIMENTALITY
Veramente bella questa pubblicità di Lavazza!,TRUST
Bravi!!!! Spot (anche se in questo caso non lo trovo una definizione appropriata) emozionante,TRUST - SENTIMENTALITY
"Questo spot è meraviglioso, quanto mai attuale, emozionante e nostalgico. È tutto un concentrato di sentimenti. Bravissimi, sempre così!",TRUST - SENTIMENTALITY
Grandi i creatori di questa pubblicità!,TRUST
Bellissimo spot... Fa riflettere il fatto che in 80anni la situazione non sia cambiata per niente ... Anzi ,TRUST - SENTIMENTALITY
Avete realizzato lo spot più bello degli ultimi tempi! Complimenti,TRUST
"Questo spot mi fa piangere ogni volta.... Ma purtroppo il motivo del mio pianto è che più vado avanti, e più, guardando la gente che mi circonda, ho la sensazione che siano meravigliose parole al vento",SENTIMENTALITY
"Un capolavoro, mi sono emozionato.",SENTIMENTALITY
Solita speculazione emozionale.,DISAPPOINTMENT
Penso che sia una delle pubblicita' piu belle complimenti,TRUST
Grazie,TRUST
È il mio formaggio preferito.... Grazie,TRUST
ma vi siamo vicini. Grazie,TRUST
I MIGLIORI VI AMOOOOO❤️,LOVE
Il Meglio Formaggio al Mondo !!!!,TRUST
Il Parmigiano Reggiano il migliore al mondo.,TRUST
Io vi AMO. Non potrei vivere senza il RE.,LOVE
Anche oggi salla mia tavola!,TRUST
Miiiii il top dei top,TRUST
Quanto è buono!!!!,TRUST
Una pubblicità che tocca veramente le corde del cuore facendola battere ed emozionare!Una pubblicità fatta con sentimento italiano... unico ♥️ Grazie!!!,LOVE - SENTIMENTALITY
Vivo all'estero e proprio questa settimana ho ricevuto il corriere dal Caseificio di fiducia .... per qualche mese sono tranquilla,TRUST
"Bellissima pubblicità, molto rassicurante. Complimenti!",TRUST
"Bellissimo video, complimenti davvero! W il Parmigiano Reggiano!",TRUST
"Complimenti, una pubblicità bellissima! ❤️",TRUST
"Ho visto la vostra pubblicità e volevo complimentarmi con Voi: finalmente una pubblicità costruttiva, educata, rispettosa e possibilista. Felice di averla vista e grazie per averla fatta!!",TRUST
Grazie per continuare a rifornirci del formaggio più buono che ci sia (almeno per me)!,TRUST
"Io lo amo, lo mangio con tutto, persino con il pesce, quando vado al estero me lo porto ❤️❤️❤️, io lo amooo",TRUST
Fiero di produrlo!!!,PRIDE
Bellissima pubblicità,TRUST
Unico al mondo. Meravigliosa Italia. Il mondo ci invidia ti tanta prelibatezza.,TRUST
Emozionante❤❤❤,LOVE - SENTIMENTALITY
"Nosu in magasinu, pecorino! Ormai tutto finito, ora lo compro!!!",TRUST
ho pianto,SENTIMENTALITY
È uno dei migliori formaggi al mondo io ne mangio a tonnellate che mondo sarebbe senza parmigiano reggiano,TRUST
"Complimenti per il video, davvero emozionante.",TRUST - SENTIMENTALITY
Unico!!!! Buonissimo!!!,TRUST
Bellissima,TRUST
E buonissimo per ora e mangiamo poco perché manca i soldi ce cris,TRUST - SADNESS
"Voglio fare i complimenti al responsabile marketing (penso) per l'ultima pubblicità e per la scelta di far parlare il Presidente, perchè trasmette proprio un senso di fiducia e professionalità! Pubblicità azzeccatissima",TRUST
Il MIGLIORE AL MONDO IL NOSTRO PARMIGIANO !! NO QUELLA SCHIF PARMESAN,TRUST - DISGUST
Complimenti io quando vado al supermercato se non c'è la scritta parmigiano reggiano non lo compro,TRUST
Il formaggio più buono al mondo ! ❤,LOVE
"Complimenti, bellissima pubblicità, mi piace moltissimo!",TRUST
"State dando un messaggio meraviglioso, grazie di cuore",TRUST
I miglior prodotto al mondo,TRUST
Bravissimi...grandi!!,TRUST
Il meglio formaggio del mondooo,TRUST
... commovente....imprenditori al servizio di una ITALIA MERAVIGLIOSA!!!!....,SENTIMENTALITY
Grazie mille per il vostro contributo nel rifornire il paese di un alimento fondamentale per grandi e piccini. Massima stima.,TRUST
"Grazie a tutti i casari, gli allevatori, i distributori che lavorano per noi 365 giorni all'anno anche in questo difficile momento.",TRUST
Bellissima,TRUST
Bravi....grazieeeeee...,TRUST
Io mangio solo parmigiano reggiano,TRUST
Unica e ineguagliabile la pasta De Cecco!!!,LOVE
"Grande ed eccellente marchio! Ma date garanzie veritiere sull 'effettiva origine dei frumenti utilizzati per i vostri prodotti? Sulle vostre etichette leggo sempre e solo : origine del grano paesi UE e non UE! Con tutto il grano duro che il Canada ( e non solo il Canada ) ci ha rifilato nei nostri porti e con il largo uso del famoso ""Glifosate "", possiamo fidarci?",TRUST - DISAPPOINTMENT
In Grecia io consumo De Cecco anche se è costa tanto cioè un pacchetto costa 2.15 euro,TRUST - DISAPPOINTMENT
La miglior pasta che abbiamo mai mangiato sempre solo de cecco,LOVE
Io personalmente De Cecco e/o Garofalo il resto ni,TRUST
Sempre e solo De Cecco pasta abruzzese,LOVE
A casa mia solo De Cecco.....la più buona...,LOVE
"De Cecco, Del Verde e la Molisana uniche",LOVE
Buona! Acquistiamo la nostra produzione tutta Abruzzese!,LOVE
Io la cucino da 47 anni anche se non la mangio più da due.....,TRUST
A casa mia solo pasta De Cecco ottima,LOVE
Numero 1,LOVE
I migliori in assoluto ! ❤️,LOVE
La migliore,LOVE
De Cecco n1,LOVE
Sono anni che consumo la vostra pasta. Uso ancora i vostri piatti in regalo con i punti negli anni 90 grazie,TRUST
