,TESTO,EMOZIONI
2028,Bravi complimenti,LOVE
2029,"Perché per 5 volte, trovato lo slot disponibile per la consegna a casa, mi dà errore? E perché poi, riuscito a selezionare lo slot, ""il calcolo dello scontrino non è al momento disponibile""? Sbattuto fuori dal checkout e consegna persa. Grazie mille!!",ANGER
2030,Ho sempre fatto la spesa da voi ma ora non posso: siete lontani due paese dal mio ..... ritornerò quando tutto sarà finito!!!,TRUST - SADNESS
2031,Ho salutato Esselunga per un po’ visto che non c’è nel mio comune. Il mio negozio di fiducia è addirittura fuori regione a Castelletto Ticino e mando un grande in bocca al lupo a tutto il personale sempre gentile e al personale del bar,TRUST
2032,Assurda la spesa online in un momento di crisi non si riesce a farla che disservizio...io capisco che siamo in tanti ma sono più di 20 giorni che ci proviamo,DISAPPOINTMENT
2033,Una organizzazione perfetta... Grazie a tutti voi che lavorate per noi ❤️❤️,LOVE
2034,Mi unisco anch'io grazie a tutti i dipendenti commessi e cassiere dell'esselunga di Parma via Emilia est un grazie anche alla guardia dell' I.v.r.i. che sta facendo il suo lavoro egregiamente non so il suo nome ma grazie anche a te.....grazie esselunga!,TRUST
2035,Io sono lontana e non posso venirci per il momento...mi manca la mia esselunga...dai prodotti al personale...non vedo l ora di tornarci,TRUST - SADNESS
2036,Mi dispiace che non posso più venire a fare la spesa Esselunga perché la devo fare nel mio comune di residenza ..... Posso solo sperare che passi tutto al più presto possibile,DISAPPOINTMENT
2037,"Grazie mille per quello che fate siete i migliori! So che fate già tanto ma L'unica cosa che vi chiedo è di fare più controlli all'interno dei supermercati per favore, Ci sono troppi furbetti e gente che se ne sbatte e non rispettano niente! Distanze, igiene e lettere iniziali del proprio cognome, coppie e famiglie che vanno insieme a fare la spesa.",TRUST - FEAR
2038,Abito a Como e sono vostra cliente da tempo immemorabile. Ora è solo per segnalarvi che aspetto la spesa ordinata online dal 25 di marzo. So che i momenti sono duri ma posso sperare che mi arrivi per Pasqua.? Grazie,TRUST - DISAPPOINTMENT
2039,Esselunga di aprilia perché non consegna a domicilio??,DISAPPOINTMENT
2040,Sono cliente da tanti anni in questo momento non posso andare a fare la spesa da voi ci dobbiamo muovere alla interno del proprio comune ma appena potrò sarà una prima cosa che farò,TRUST
2041,"La prenotazione e’ diventata una gara al “ dito più veloce” sempre che si riesca ad entrare nel sito. Inoltre, da giorni, la data di consegna (esaurita) e’ ferma all’11 marzo",DISAPPOINTMENT
2042,anche se da un mese non posso venire da voi a far spesa ...e mi mancate ..grazie di ❣️,TRUST - SADNESS
2043,"Anche se per pochi metri è fuori comune e le consegne a domicilio sono state organizzate malissimo tempi di consegna 20gg linee telefoniche sempre irraggiungibili, forse visto la situazione avrebbero dovuto incrementare il personale",DISAPPOINTMENT
2044,Peccato non poter fare la spesa da voi come ho sempre fatto! Purtroppo siete fuori dal mio comune,SADNESS
2045,La spesa online non è fruibile ! Pessimo servizio e inesistente organizzazione !,DISGUST
2046,A me il 2 Aprile hanno consegnato a casa senza mascherina... Beh mi sono alquanto infastidita.. Ora ho cambiato supermercato per la consegna... Dopo anni che sono cliente esselunga e anche un buon cliente...,DISAPPOINTMENT
2047,Siete i migliori e mi mancate.....non posso venire....qui c è coop(manco morta) e due discount.....mi tocca il discount,TRUST - SADNESS
2048,"Sono cliente da quando sono nata. Però ormai sono 2 mesi circa che non riesco più a fare la spesa online. In questo periodo avreste dovuto potenziare questo servizio, visto che dobbiamo stare a casa",TRUST - SADNESS
2049,"Se vi mettete (addetti alle pulizie, commessi) le mascherine con valvola infettate chi insossa le chirurgiche . Se permettete di entrare con le mascherine con valvola permettete il diffondere del virus tra di voi e tra la popolazione .",FEAR
2050,Grazie mille a esselunga di Piacenza,TRUST
2051,Arrivata spesa a casa! Grazie esselunga per tutto il lavoro che stai facendo per noi!!!!,TRUST
2052,Grazie a tutti davvero però fate qualcosa per queste code perché non se ne può più di contagiati a Milano... la gente esce tutti i giorni e fa code di 4/5 ore per dieci euro di spesa.,TRUST - DISAPPOINTMENT
2053,Esselunga e una grande ma adesso vediamo delle pecche peccato prima era il superamento ora è un supermercato purtroppo,TRUST - DISAPPOINTMENT
2054,Un'azienda che sa ringraziare i propri dipendenti è una grande azienda.,LOVE
2055,Oggi la mia prima spesona all’Esselunga di Milano Washington dopo un mese e mezzo. Ho scoperto che IL SUPERMERCATO È IL LUOGO DI MAGGIOR CONTAGIO. il distanziamento sociale non esiste. ,FEAR
2056,"Grazie davvero ai vostri dipendenti per l’impegno, la cortesia e i sorrisi sotto le mascherine!",TRUST
2057,"Grazie, ho mia nipote che ci lavora fate di tutto per proteggerli",TRUST
2058,Purtroppo in questo periodo non possiamo venire di persona perché lontani da casa e non riusciamo più a fare ordini in Line. Vi ho dovuto tradire!!!!,SADNESS
2059,"Grazie a tutti i dipendenti che nonostante la paura e lo stress di questi giorni continuano a fare il loro dovere. Purtroppo abito in un altro comune perciò non posso più recarmi All'Esselunga, sono oramai 30 gg che provo ad ogni ora del giorno e della notte a prenotare la consegna, non riuscendoci con dispiacere ho dovuto rivolgermi a un altro fornitore.",TRUST - DISAPPOINTMENT
2060,Manca sempre l'alcol sugli scaffali! Rifornire grazie!,DISAPPOINTMENT
2061,"Cliente da sempre, sono profondamente deluso dalla vostra totale incapacità di fare fronte all’emergenza. Avreste potuto triplicare le risorse per le consegne con il fatturato in più che state facendo. Mai più messo piede dall’inizio di Covid e ridurrò la mia frequentazione a emergenza conclusa.",DISAPPOINTMENT
2062,Un grazie infinite a tutti i cassiere. Anche loro sono in campo in questa guerra con questo maledetto virus!,TRUST
2063,E sempre piacevole venire da voi. Siete tutti magnifici.,DELIGHT
2064,Quando sarà possibile ricevere la spesa a casa? Perché non funziona questo servizio in questo momento difficilissimo?,DISAPPOINTMENT
2065,"Grazie di esserci, ma ultimamente è veramente un'impresa faraonica tentare di riuscire a effettuare la spesa online. ",TRUST - DISAPPOINTMENT
2066,Inutile publicizzare la spesa online se poi non ci sono slots liberi se non dopo 15 gg....,DISAPPOINTMENT
2067,Grazie x quello che fate bravissimi♥️,LOVE
2068,SALVE IO VENGO IN NEGOZIO MA VI RINGRAZIO TUTTI SITE GRANDI,TRUST
2069,Grazie a tutti voi in primis agli operatori che lavorano in fabbrica (Esselunga) con turni massacranti in prima linea per farsi che i prodotti arrivano sui banchi della catena Esselunga.un forte abbraccio a tutte le persone del Sud che sono lontano dai familiari .❤,LOVE
2070,"Da anni cliente, ma durante questo periodo assolutamente deludente spesa in Line rinviata di 10 giorni prodotti recapitato diversi da ciò che avevo ordinato. È pur volendo andare io file interminabili . Mi sono rvolta ad altre catene. Peccato!",DISAPPOINTMENT
2071,Il servizio spesa a casa è finto....... Non ho mai trovato uno spazio libero. A qualsiasi ora e giorno......,DISAPPOINTMENT
2072,Grazie a voi per tutto! Siete una garanzia ❤️,LOVE
2073,Ce l'ho fatta finalmente!!! Ordinato la spesa online ,OPTIMISM
2074,Grazie all'esselunga non ho mai trovato crisi di prodotti,TRUST
2075,"A Roma c’è una sola Esselunga , in questo periodo non mi è permesso andare perché troppo lontana da casa mia , ho il carrello online pronto ma non trovo slot aperti neanche collegandomi in piena notte e non riesco a farmi consegnare la spesa :(",PESSIMISM
2076,Servizio online pessimo... imparate dai piccoli come Cortilia... state gestendo malissimo la situazione mentre loro che rispetto alla vostra potenza sono nulla consegnano ogni settimana senza problemi. Assurdo Esselunga delusione enorme!,DISGUST - DISAPPOINTMENT
2077,DOMANI VADO DAI CARABINIERI A DENUNCIARLI. IN VIALE JENNER DOVEVANO CHIUDERE ALLE 20.00: DALLE 19.10 IN POI NON HANNO PIÙ FATTO ENTRARE NESSUNO. LO STORE ALL'INTERNO ERA SEMIVUOTO. IO PER FORTUNA ERO ANDATA A PRENDERE SOLO COSE CHE NON AVEVO TROVATO IN UN ALTRO MARKET.,ANGER
2078,Siete il top del mercato però aiutateci di più con spesa oline grazie bravissimi,TRUST - DISAPPOINTMENT
2079,"Io sono così esasperata ogni notte al tentativo di prenotare la consegna che ho proprio deciso di cambiare supermercato!! È davvero frustrante stare li ad aspettare che vengano caricati slot che non sono verdi neanche una frazione di secondo, ma appaio",DESPAIR
2080,È vero sempre gentili e disponibili. Forse unico neo la prova della febbre solo dopo aver fatto la coda. Io settimana scorsa ho fatto coda x un'ora e solo all'ingresso mi hanno provato la febbre. Forse sarebbe meglio provarla subito. All'inizio della coda.... Unico appunto. Per il resto Esselunga SEMPRE!!!!!,TRUST - DISAPPOINTMENT
2081,DOVEROSO ringraziare tutti i dipendenti che ogni giorno sono in prima linea per garantirci il necessario. Un enorme e sentito GRAZIE a questi Angeli in divisa blu.,TRUST
2082,"Grazie per la dolce sorpresa di Pasqua, Esselunga. Molto gradita",TRUST - SURPRISE
2083,"bravi, bravissimi. Anche sulla spesa on line sono gli unici su Roma che consegnano in breve termine e liberano slot continuamente. Consegne puntualissimi, prodotti super. Grazie mille",TRUST
2084,Grazie a tutti dipendenti dell'Esselunga.,TRUST
2085,Mi manca la mia ESSELUNGA. ......Grazie per essere sempre presenti,TRUST - SADNESS
2086,"Potenziate il servizio di spesa online, così è assurdo , non ci soni mai orari disponibili e in molti giorni e orari non consegnate proprio",DISAPPOINTMENT
2087,Grazie esselunga siete i migliori e grazie il personale,TRUST
2088,Grazie a tutti voi...anche se in questo periodo non posso venire a fare la spesa perché fuori zona...ma mi manca molto la vostra gentilezza e il vostro ordine e pulizia..spero che possa venire al piu presto da voi...,TRUST - SADNESS
2089,"Ci manca moltissimo, non poter fare la spesa come facevamo prima del virus. Siamo clienti con carta oro da quando ha aperto. Ora perché siamo fuori comune non ci è permesso. Non lo trovo giusto....",TRUST - SADNESS
2090,"Buongiorno purtroppo non posso recarmi da voi perché distante 20 km, peccato che non mi sia stato possibile fare la spesa online perché sempre tutto esaurito",DISAPPOINTMENT
2091,Da 11 anni eravate il mio sppuntamento fisso settimanale... Sono settimane che tento di ordinare per i miei genitori ultraottantenni e per me ma..... ormai code di ore fuori dai supermercati per slot che escono già rossi.... capisco la difficoltà e apprezzo moltissimo il vostro lavoro ma.... peccato.,TRUST - DISAPPOINTMENT
2092,Grazie a voi!orgogliosa di lavorare da piu’di 20 anni nella vostra azienda!,TRUST
2093,"Cliente da più di 10 anni, purtroppo non riesco a fare la spesa on line, speriamo che presto ritorni tutto normale!!!",TRUST - SADNESS
2094,Ma come è possibile che e' sempre tutto pieno??a mezzanotte e cinque nemmeno un posto libero per la nuova giornata sbloccata,DISAPPOINTMENT
2095,"Grazie per la vostra disponibilita',efficienza anche nelle consegne, io vengo una volta alla settimana ed ora non faccio la coda perché sono over 65!!!!!",TRUST
2096,"Grazie a voi per l' impegno, la disponibilità e la gentilezza . Il grande Signor Slunga sarebbe fiero di voi. Così come lo siamo noi",TRUST
2097,Meno male che in in 23 giorni di isolamento fiduciario ho potuto contare sulla consegna a domicilio del sigma vicino casa.... Sarei già morta di fame se avessi dovuto aspettare l'esselunga,DISAPPOINTMENT
2098,Mi manchi Esselunga...chissà quando potrò ritornare a fare la spesa da voi!!!,SADNESS
2099,Si ma impossibile farsi portare spesa a casa anche x chi come me nn puo venire x che invalida.. Almeno una via preferenziale ogni tanto non sarebbe male.,DISAPPOINTMENT
2100,"Mi unisco ai suoi complimenti, ho sempre trovato connesse/i gentilissimi e in questo periodo ancor di più. Un complimento però a voi che ringraziate e riconoscete i vostri dipendenti per ciò che fanno! Un caro saluto a tutti.",TRUST
2101,Grazie ma mi sento un po’ presa in giro ... ho un abbonamento di consegna a casa pagato ben prima del problema corona virus e nonostante ciò non riesco a prenotare la spesa online ... almeno dare una “priorità” a chi ha già prepagato un servizio.,DISAPPOINTMENT
2102,Molto delusa da Esselunga ... a Bologna la spesa online è bloccata da giorni. Peccato.,DISAPPOINTMENT
2103,"Vorrei ringraziare tutti i dipendenti del negozio Esselunga di Modena,sono una persona disabile e mai come in questi giorni ho trovato gentilezza,disponibilità e cortesia...grazie a tutti!!!",TRUST
2104,Purtroppo la spesa online e diventata un miraggio e l app e addiruttura bloccato invece in questo momento sarebbe utile soprattutto x tanti anziani,DISAPPOINTMENT
2105,Si davvero gentili e cordiali..siete sempre ben forniti non è mai mancato nulla nei vs scaffali..considerando l assalto che c'è e fanno alcune persone...mi raccomando non lievitate i prezzi....e verdura e frutta più italiana che spagnola. Grazie per il vs lavoro,TRUST
2106,In questo periodo non posso venire da voi perché nonostante ci siano 2 esselunga a 5 km. Da casa non sono nel mio comune. Mi mancate molto spero finisca presto questo bruttissimo momento. Vostra affezionata cliente,TRUST - SADNESS
2107,"Anch'io cliente fissa per spesa online ma adesso peccato non riesco ad usufruire del servizio,",TRUST - SADNESS
2108,"Esselunga, pensa un.po' di più ai tuoi dipendenti, le domeniche stai chiusa e così anche a Pasqua e Pasquetta,altrimenti stando aperta ,invogli la gente a uscire,perché i dipendenti vanno preservatiiiii!!!!",ANGER
2109,"Nella consegna di stamattina il vostro operatore si è rifiutato di portare la spesa al piano (anche se gli ho detto più volte che non avevo nessuna intenzione di aprire la porta di casa e che poteva lasciare tutto fuori come sempre senza alcun contatto diretto), adducendo non meglio precisate nuove istruzioni. Il tutto con la mascherina bellamente abbassata sotto il mento. Il risultato è che, quasi come favore, mi è stato messo tutto per terra nell'ascensore per poi tirare su io al piano la spesa, con buona pace dell'igiene e con i sacchetti uno sopra all'altro tutti schiacciati. Non capisco veramente il senso, vi ho già scritto reclamo ma lo ripeto anche qui. Per me no, ma per un anziano, oltre a quanto sopra lamentato, ciò comporta anche un'assurda fatica in più. È un momento difficile per tutti, ma forse tutti dovremmo aiutarci.",OUTRAGE
2110,Noi tutti ringraziamo I dipendenti x quello che danno e fanno x i clienti.... Ma se voi rispettate il loro lavoro a PASQUA e PASQUETTA tutti i negozi devono rimanere chiusi.... Anche loro hanno una famiglia... Rispettiamo..,TRUST - ANGER
2111,Grazie mille sono cliente da piu di 30 anni è l esselunga è il migliore supermercato...qualitá prezzi gentilezza disponibilitá professionalitá vi contraddistingue dagli altri supermercati...complimenti e grazie x il vostro lavoro,TRUST
2112,Grazie a voi dipedenti..ma guardate bene persone senza maschera e guanti..deve essere piu rigorosi..e non lasciate dentro persone irresponsabili per se stessi e i altri...,TRUST - ANXIETY
2113,"Grazie ai vostri dipendenti, dal primo all’ultimo !",TRUST
2114,Vado una volta a settimana a esselunga. Gentilezza cortesia ed ora anche ricerca di sicurezza per loro e per noi. Bravi,TRUST
2115,"Grazie ai dipendenti di Esselunga, tutti! Prego per voi e le vostre famiglie",TRUST
2116,"Siete incredibile! Peccato non esistere in Brasile! Quando sono a Milano, me piace molto stare nel super in Adriano! Complimenti a tutti ed a Isa, la mia amica Brasiliana che lavora li!",TRUST
2117,Grazie a tutti i dipendenti sempre gentilissimi . Solo e sempre Esselunga cliente fedelissima da 20 anni ❤️❤️,LOVE
2118,Grazie a tutti quelli che devono lavorare x far andare avanti le cose essenziali.. Ultimamente vado altrove a fare la spesa... 2 h di fila.,TRUST
2119,"Grazie a tutti i dipendenti Esselunga per l’impegno di questi giorni, vi voglio bene ❤️",LOVE
2120,State facendo davvero un gran lavoro. Grazie a tutti voi..,TRUST
2121,Esselunga C'è un post che gira su Facebook molto strano che voi regalate un buono 250€in cambio dei nostri dati ????? a me sembra strano ma tra i miei contatti ho visto ha provato diversa gente.....,ALARM
2122,"Grazie a Esselunga ed ai suoi dipendenti, cortesia, gentilezza, professionalità, sicurezza regnano sovrani !!! Il miglior supermercato... senza alcun dubbio !!!",TRUST
2123,"Esselunga sempre la migliore, peccato che sia a 20 km da casa... ma purtroppo abito in un feudo coop. Qualche slot in più x le spesa on line sarebbe gradito.",TRUST - SADNESS
2124,Grazie ai dipendenti Esselunga di Moncalieri!,TRUST
2125,Esselunga sempre!!!! Un grazie grandissimo a tutti quelli che ci lavorano!,TRUST
2126,Non riesco ad andare in altri supermercati e in questo periodo siete una delle poche certezze per noi. Sugli scaffali non manca mai niente e riuscite ad essere sempre gentili e sorridenti (sono i vostri occhi a sorridere) nonostante la fatica,TRUST
2127,Non trovo corretto che prodotti in offerta acquistati con spesa online vengono consegnati dopo 15 giorni a tariffa piena perché non più scontati.,DISAPPOINTMENT
2128,Ci avete lasciato proprio quando avevamo bisogno di voi non lo scorderemo!!!!,ANGER
2129,Grazie un abbraccio a tutti e buon lavoro,TRUST
2130,Quanto mi manca non posso venire troppo lontana da casa mia fuori preciso casa lavoro ....,SADNESS
2131,"Esselunga Spesa consegnata dopo svariate settimane di tentativi 10gg fa, peccato che ho pagato per prodotti che nn mi sono stati consegnati. Ho inviato mail con reclamo al servizio clienti ma nessuna risposta. Capisco tutto ma pagare per prodotti non consegnati non mi sembra etico e legale. Chi mi risarcisce? Quando avrò una risposta in merito?",DISAPPOINTMENT - ANTICIPATION
2132,"Quando provo a ordinare ad EsselungaACasa, non riesco a pagare per l'ordine perché non ci sono date di consegna disponibili per la settimana. Sono pronto ad aspettare tre settimane come la scorsa volta. Ordino cibo per un mese in questi giorni. Inserisci più date di consegna.",DISAPPOINTMENT
2133,"Grazie a tutti i dipendenti esselunga di corso traiano Torino, siete super anche in questo periodo, per tutti noi molto difficile, ma grazie a voi per tutto quello che fate per permetteeci di fare la spesa.",TRUST
2134,"E un grazie enorme agli addetti alle consegne, che lavorano fino le 23",TRUST
2135,Mi mancate tantissimo mi dispiace che non c'è un esselunga al mio comune,SADNESS
2136,"Quanto mi manca veramente a fare la spesa... purtroppo distata troppo da casa mia,siete fantastici..",TRUST - SADNESS
2137,"30 Anni fa seduto nel carrello della spesa con le gambe a penzoloni rivolto verso chi lo spingeva, ai tempi mio padre. - Perché facciamo la spesa sempre qui?.",TRUST
2138,"Non penso neanche lontanamente di servirmi da altri, 40 vostra cliente soddisfatta in tutto, ed ora anche una delicatezza per l'età, grazie infinite per tutto, anche in questo periodo difficile il servizio a domicilio perfetto",TRUST
2139,Mi trovo molto bene alla esslunga,TRUST
2140,La solidarietà si fa ma in silenzio ❤️ Grazie,LOVE
2141,"Grande Esselunga ...Grazie, fiero di essere un vostro Cliente..E Grazie per regalo ..Gentilissimi da vero... Grazie Mille.",TRUST
2142,Non riesco con online. Siamo una coppia di 80 e 88 anni. Tentativi sempre falliti! Non potete proprio fare di più? Magari dare une precedenza ai vecchi migliorando i trasporti Esselunga a casa.,ANGER
2143,"Anch'io, cliente da circa 40 anni, purtroppo ho dovuto rinunciare perché abito in altro comune e i numerosi tentativi online falliti. Mi spiace tantissimo",TRUST - SADNESS
2144,Cammino con difficoltà e non posso uscire.. Ho sempre fatto la spesa online ma ora bloccate sempre tutte le giornate e gli orari.. Sono molto delusa,DISAPPOINTMENT
2145,Per me la migliore anche se da quando c'è l'emergenza non posso più avere la spesa online sempre pallini rossi ho 72anni e mi avrebbe proprio fatto comodo,TRUST - SADNESS
2146,Grazie di tutto!!Sono riuscita a fare la spesa da voi fino alla scorsa settimana Sono a Roma ma non sono vicino faccio la spesa da voi sempre ma ora mi dicono che non mi posso allontanare dal quartiere spero di riuscire a fare la spesa da computer senza di voi mi sento persa,TRUST - FEAR
2147,potenziate il servizio esselungaacasa perché da 20 giorni non c'è modo di riuscire a fare un ordine e non è che posso stare su fino a mezzanotte ogni giorno nella speranza di poter accedere al portale momento in cui vengono caricati gli slot nuovi.,DISAPPOINTMENT
2148,Bravi bravi . Grazie grazie ma siamo una coppia anziana e in casa e non siamo mai riusciti a fare una spesa on-line .costretti a rivolgerci altrove. Bisognerebbe incrementare il servizio almeno per questi mesi di emergenza. Allora si che saremmo grati. Comunque buon lavoro,TRUST - DISAPPOINTMENT
2149,Grazie davvero! Vi ho guardato bene le due volte che sono venuta...tutti comunque con il sorriso! Per me chi offre servizi i questo periodo è alla pari dei medici,TRUST
2150,Sempre un passo avanti grazie a tutti i dipendenti che non fanno mancare niente sugli scaffali,TRUST
2151,ringrazio tanto e tutti quelli che ci permettono di andare avanti. mi auguro solo che la spesa online venga resa più frequente e agevolata grazie,TRUST
2152,"Lucca (LU) , io sono una cliente da decenni, purtroppo da un mese ormai le consegne sono bloccate e mi devo quindi affidare ad altri supermercati che hanno disponibilità per la consegna a domicilio. Peccato...",TRUST - SADNESS
2153,"C’è da dire però che tante persone come me , non possono venire perché non fanno parte della circoscrizione ma vorrebbero fare la spesa alla Esselunga dovreste in questo periodo aumentare ancora di più le consegne e soddisfare tutti !!!",PESSIMISM
2154,Peccato che non riesco più a fare la spesa online,SADNESS
2155,"Buongiorno, grande stima per i vostri dipendenti che sono una categoria considerata oggi a rischio. purtroppo, ho notato che indossano dispositivi di protezione individuale poco idonei, a mio avviso, in questa situazione. ",TRUST - DISAPPOINTMENT
2156,Mi sembra che la difficoltà di fare la spesa on line non sia cambiata dall'inizio dell'emergenza. Avevo letto di potenziamento ma forse non è bastato. Peccato. Faccio la spesa altrove,DISAPPOINTMENT
2157,"Grazie di cuore per l'impegno, la pazienza, la cordialità, sicurezza che in questo periodo così difficile dimostrate più del solito con orari pesanti. Un particolare ringraziamento ai dipendenti Esselunga di via Sant'Ampellio",TRUST
2158,Grazie!!! Speriamo di poter tornare presto a fare spesa all'Esselunga,TRUST - ANTICIPATION
2159,Io ora non posso tornare da voi perché sono a casa mia in provincia di Savona (spero che aprirete presto anche lì) ma tornerò al vostro superstore di Famagosta appena potrò tornare nella mia base di appoggio lavorativo a Milano,SADNESS - ANTICIPATION
2160,"Esselunga di via Losanna a Milano. Un grazie enorme a tutto il personale che, nonostante le preoccupazioni, le code e lo stress, é sempre gentile, educato e sorridente. Grazie a loro, a coloro che lavorano nei magazzini e a chi ci permette di trovare sempre gli scaffali pieni. Avete un cuore grande, siamo una grande famiglia.",TRUST
2161,"Io abito a Desio. (M. B) l'esselunga dovo vado io.,ha messo la priorità alle persone diversamente abili donne incinta e ""HOVER 65""Questi ultimi vanno tutti i giorni!!!! Con uno scontrino di €4,7,al massimo 10€. Sono a conoscenza di questo perché conosco del personale che lavora dentro.... Proprio oggi ne parlavamo (per tel.) magari un po' più di controllo. Anche se non so come....",OUTRAGE
2162,"Grazie , cliente fedelissima da quasi 23 anni, oggi dopo un mese di clausura sono andata a fare la mia grande spesa. Mi tremavano le gambe. Non mancava nulla gli scaffali pieni e ordinati. Il personale sempre efficiente e cordiale. Mi sono tirata su e spero che tutto ritorni come prima. Non dimentichiamoci di loro che ci hanno aiutato tanto in questo periodo",TRUST - FEAR
2163,Grazie a voi per tutto ciò che fate,TRUST
2164,"Grazie,anche in questo periodo trovo da voi sempre gentilezza e sorrisi",TRUST
2165,Ho beneficiato una volta della coda prioritaria per noi medici... anche se un po’ mi vergognavo a saltare la coda... ho apprezzato molto la gentilezza di tutti e l’efficienza del personale... grazie!,TRUST
2166,Allora cara Esselunga tutti i dipendenti non si meritano un bel premio oltre lo stipendio?,ANTICIPATION
2167,"Grazie per aver donato ai sanitari. Però voglio dire una cosa .Visto le cassiere sono a rischio contagio perché non gli date le protezioni adeguate ? Parlo delle mascherine ffp2 senza valvole ,invece di quelle che usano adesso?",TRUST - DISAPPOINTMENT
2168,"Devo fare una precisazione, voi fate lavorare i vostri dipendenti, senza i dispositivi di sicurezza idonei vergognatevi. Questo siete. Grazie",SHAME
2169,"Ormai mi sono arresa: la spesa online è riservata a pochi! Ultimo tentativo ieri sera ore 12,30. Primo tentativo di oggi ore 6,30. Tutto occupato! Nessuna possibilità di inoltrare l'ordine e questo va avanti da giorni. Quindi bisogna stare alzati di notte!",DISAPPOINTMENT
2170,Siete unici grandi,TRUST
2171,Mi emoziona la gentilezza di tutti poi i dirigenti sono efficienti preparati e organizzano perfettamente tutto. E uno staff da 10 con lode Grazie Esselunga,TRUST
2172,E grazie ancora di più se magari la domenica chiudete e fate riposare questi eroi. E pure a Pasqua!!,TRUST
2173,"Sempre alla banguardia dal suo personale e ai cliente .Siette la forza continuate a dare speranza di ricominciare alla nostra normalità cotidiana. Un Po diversa ,lo importante è andare avanti sempre.❤",LOVE - OPTIMISM
2174,Io faccio la spesa all’esselunga da anni e l’adoro. In questo periodo però sono molto delusa. ,DISAPPOINTMENT
2175,Perché non riservate ai sanitari almeno una fascia oraria in almeno un giorno alla settimana per fare la spesa online perché è impossibile trovare uno spazio libero,OUTRAGE
2176,"si è vero,graziea tutti i dipendenti di esselunga ma......non è possibile che noi vecchi non riusciamo a fare laspesa online e dobbiamo andare a fare la spesa nello store. dovete fare una corsia preferenziale per gli over 70 anche online",TRUST - DISAPPOINTMENT
2177,"Come hanno fatto alcune aziende sarebbe auspicabile, da parte vostra, aumentare lo stipendio a tutti i dipendenti ...",ANTICIPATION
2178,Grazie siete dà sempre gentilissimi ma ora meritate un grazie veramente speciale onore a tutti voi che fate tantissimo per noi ♥️,TRUST
2179,Ma perché non potenziate il servizio online nei comuni in cui non è presente un vostro punto vendita? Sarebbe più facile per tutti fare la spesa da Esselunga. Sono vostra cliente online da tantissimi anni ma da più di un mese non riesco a trovare slot,DISAPPOINTMENT
2180,"Grazie per aver rimesso in vendita materiale scolastico come richiesto, in questo momento dove i ragazzi continuano la didattica era fondamentale.",TRUST
2181,"Ho provato anche a mezzanotte e alle 3, ma non c'erano slot disponibili oltre il giorno 13, poi, magicamente, alle 6 sono apparsi gli slot del giorno 14 di aprile, ovviamente non più disponibili!!!! Non penso che sia corretto, soprattutto per persone di una certa età.",OUTRAGE
2182,Questa pubblicità mi emoziona sempre ♥️,LOVE
2183,Fedele da anni e se possibile ancora di più nei prossimi! Grazie di cuore a tutti voi,TRUST
2184,"IO MI SONO SEMPRE TROVATO BENE A L'ESSELUNGA ANCHE IN QUESTO PERIODO CRITICO. VOGLIO AUGURARE UNA PARTICOLARE BUONA PASQUA A TUTTI I DIPENDENTI PER LA CORTESIA E PAZIENZA CHE HANNO DIMOSTRATO IN QUESTO PERIODO! ""GRAZIE DI ❤️""",TRUST
2185,Io ci ho rinunciato ha fare spesa online sempre bloccata certo x chi ha persone anziane è un’incubo,DESPAIR
2186,Continuo a vedere l'uso improprio di mascherine con valvola...che salvaguardano solo chi le indossa ma non le altre persone!,ANGER
2187,"Oggi sono venuta a fare la spesa da voi ,sempre tutti efficienti e educati! Mi sono accorta che avete riaperto la sezione con la cartoleria per i bambini e il giardinaggio e mi sono chiesta se mai riaprirete quella dei vestiti per i bambini!? Io ordino online ( ho una neonata) e i tempi sono molto lunghi! Sarebbe fantastico comprare delle cose senza dover aspettare che mi vengano consegnate a giugno",TRUST
2188,"Esselunga dovrebbe riservare spazi per la spesa a casa ,agli anziani e invalidi sono settimane che non riesco a fare un ordine gli slot sono sempre occupati",DISAPPOINTMENT
2189,"Finché dura questa pandemia non sarà più possibile fare la spesa online,ho provato a tutte le ore anche di notte,mi devo arrangiare non esco dal 12 marzo,qualcuno ogni tanto mi fa' un po' di spesa.",SADNESS
2190,Non vorrei essere ripetitiva ma anch'io desidero ringraziarvi per gli sforzi che fate per rendere meno faticoso questo difficile periodo....io poi sono doppiamente fortunata perché la mia zona è coperta dal servizio a domicilio certo i tempi di attesa sono più lunghi ma che sarà mai tanto sono in casa..!!! Grazie a TUTTI ma proprio TUTTI !!!,TRUST
2191,"Grazie esselunga, in questi giorni di pandemia ci sono persone, clienti disabili di lungo corso, che non possono fare la spesa online a causa dei vostri disservizi. Ma riservare qualche posto ai disabili? ",DISAPPOINTMENT
2192,Si grande supermercato grazie a tutti voi,TRUST
2193,Grazie da tutto il personale del pronto soccorso di Cremona.,TRUST
2194,Grazie per tutto ciò che fate.Scelgo Esselunga da sempre e per sempre!,TRUST
2195,Io sono dispiaciuta non potendo recarmi all'esselunga di Baranzate essendo di Novate!!!Siete fantastici e spero di poter fare spesa al più presto da voi!!,TRUST - SADNESS
